CustomerID,Customer_Gender,Age,Income,Region
1,Male,56,97960,North America
2,Non-Binary,69,104388,Africa
3,Non-Binary,46,42601,Europe
4,Male,32,138307,Asia
5,Male,60,38020,Asia
6,Non-Binary,25,28155,Australia
7,Female,38,89119,Europe
8,Female,56,101051,Europe
9,Female,36,56777,Asia
10,Non-Binary,40,39710,South America
11,Male,28,128714,North America
12,Female,28,44532,North America
13,Non-Binary,41,148727,Asia
14,Non-Binary,70,38601,Europe
15,Male,53,83227,Australia
16,Female,57,24967,South America
17,Non-Binary,41,104289,Asia
18,Male,20,40022,North America
19,Female,39,63463,Africa
20,Female,70,94671,Europe
21,Female,19,25722,Africa
22,Male,41,47413,Australia
23,Non-Binary,61,112772,Asia
24,Male,47,101050,North America
25,Female,55,129432,South America
26,Female,19,122748,Africa
27,Non-Binary,38,125922,South America
28,Female,50,105867,Australia
29,Male,29,103596,North America
30,Non-Binary,39,86732,Africa
31,Non-Binary,61,32297,Australia
32,Female,42,88323,South America
33,Male,66,43816,South America
34,Female,44,144341,Africa
35,Non-Binary,59,60695,North America
36,Female,45,39702,South America
37,Female,33,45242,Asia
38,Non-Binary,32,75841,Australia
39,Female,64,148498,Africa
40,Non-Binary,68,87712,Europe
41,Non-Binary,61,105663,Europe
42,Non-Binary,72,127096,North America
43,Female,69,112764,Asia
44,Non-Binary,74,73574,South America
45,Non-Binary,20,105744,Europe
46,Female,54,48482,North America
47,Male,68,29171,Australia
48,Male,24,120755,Asia
49,Non-Binary,38,118932,Asia
50,Male,26,128125,North America
51,Non-Binary,56,126082,North America
52,Non-Binary,35,23696,South America
53,Female,21,146310,North America
54,Non-Binary,42,40058,South America
55,Female,31,40313,South America
56,Female,67,39149,Africa
57,Non-Binary,26,73521,Asia
58,Female,43,65740,Australia
59,Male,70,126611,Asia
60,Male,19,24956,Asia
61,Female,37,95731,Africa
62,Male,45,102612,South America
63,Non-Binary,64,137850,South America
64,Male,24,86641,North America
65,Non-Binary,61,83811,Africa
66,Male,25,72160,North America
67,Non-Binary,64,71313,Africa
68,Non-Binary,52,83232,North America
69,Non-Binary,31,35417,Europe
70,Male,34,44729,Asia
71,Male,53,132492,Asia
72,Female,67,50099,Australia
73,Female,57,138387,South America
74,Male,21,118134,Australia
75,Male,19,49961,Europe
76,Non-Binary,23,32602,Australia
77,Non-Binary,71,138474,Asia
78,Female,59,29256,South America
79,Female,21,106120,Europe
80,Female,71,132516,Asia
81,Female,46,54681,North America
82,Male,35,111328,Africa
83,Female,43,107440,Europe
84,Female,61,84789,South America
85,Female,51,63361,Australia
86,Female,27,84503,Australia
87,Female,53,54540,Europe
88,Male,31,46536,South America
89,Female,48,104700,Europe
90,Female,65,83043,South America
91,Male,32,98532,Australia
92,Non-Binary,25,76575,Asia
93,Female,31,147626,North America
94,Male,40,22871,Asia
95,Non-Binary,74,66002,North America
96,Female,57,69812,Australia
97,Non-Binary,38,42626,Asia
98,Male,33,79979,Asia
99,Non-Binary,62,96057,Europe
100,Non-Binary,35,146834,Africa
101,Female,64,128946,Australia
102,Female,70,86668,South America
103,Male,41,119003,Australia
104,Non-Binary,43,100070,South America
105,Female,42,109390,South America
106,Non-Binary,62,62998,North America
107,Non-Binary,58,83814,South America
108,Female,46,124601,South America
109,Female,32,65607,Europe
110,Non-Binary,62,27812,Asia
111,Non-Binary,18,81844,Australia
112,Male,42,90093,Australia
113,Non-Binary,24,22179,South America
114,Non-Binary,26,63798,Africa
115,Female,41,94601,Australia
116,Female,18,28275,South America
117,Female,61,70574,North America
118,Male,25,67857,North America
119,Non-Binary,41,145555,North America
120,Non-Binary,28,121484,South America
121,Male,68,40700,Europe
122,Male,34,146855,Africa
123,Female,25,59464,South America
124,Non-Binary,52,62351,Europe
125,Female,52,113330,Europe
126,Non-Binary,50,114319,Australia
127,Non-Binary,22,102534,South America
128,Non-Binary,59,33869,South America
129,Male,56,80315,Europe
130,Non-Binary,58,130061,Europe
131,Non-Binary,45,113688,Europe
132,Female,24,40954,Australia
133,Female,26,51555,South America
134,Male,25,83353,Europe
135,Non-Binary,29,102190,North America
136,Male,51,65026,South America
137,Female,50,120772,Australia
138,Female,65,66976,North America
139,Male,72,100578,Asia
140,Male,40,111502,South America
141,Non-Binary,41,133943,Asia
142,Non-Binary,54,129850,Europe
143,Male,52,65095,Australia
144,Non-Binary,61,34270,Europe
145,Female,57,50908,Australia
146,Male,39,35523,Africa
147,Non-Binary,44,82433,Europe
148,Female,52,67068,Asia
149,Non-Binary,18,39991,Australia
150,Non-Binary,52,30775,Europe
151,Female,54,97801,South America
152,Female,64,104995,Australia
153,Male,31,81250,Australia
154,Female,20,36673,Europe
155,Male,18,142808,Africa
156,Male,22,47056,Europe
157,Non-Binary,43,26614,Asia
158,Female,72,121556,Asia
159,Non-Binary,31,27415,Australia
160,Female,56,108691,Australia
161,Female,44,134966,Europe
162,Female,26,63884,Asia
163,Female,32,36964,Asia
164,Non-Binary,32,57726,Africa
165,Female,43,143133,South America
166,Female,59,57044,Africa
167,Male,30,77149,North America
168,Male,68,57544,Africa
169,Male,49,69976,Europe
170,Non-Binary,56,52252,South America
171,Male,66,23832,Europe
172,Non-Binary,69,110811,North America
173,Non-Binary,49,100437,South America
174,Non-Binary,21,123749,Australia
175,Male,47,54148,Asia
176,Male,54,81240,Africa
177,Non-Binary,40,128169,Europe
178,Female,56,145607,North America
179,Male,62,108454,Asia
180,Female,32,132230,Africa
181,Non-Binary,60,148933,Asia
182,Male,46,105076,Africa
183,Non-Binary,53,97116,Australia
184,Male,30,73459,South America
185,Male,49,58402,Asia
186,Male,24,77727,Asia
187,Male,68,58578,Asia
188,Male,39,110453,South America
189,Female,45,42318,North America
190,Male,19,95715,Africa
191,Non-Binary,59,97787,Australia
192,Female,62,131435,Asia
193,Female,74,105029,South America
194,Non-Binary,70,40466,North America
195,Non-Binary,23,115742,Africa
196,Male,45,65475,South America
197,Non-Binary,45,80142,Australia
198,Non-Binary,61,105160,Australia
199,Female,61,46564,Africa
200,Non-Binary,37,42412,Asia
201,Female,47,113526,Australia
202,Non-Binary,28,71001,North America
203,Female,72,77649,South America
204,Non-Binary,45,80957,North America
205,Non-Binary,42,55517,Asia
206,Non-Binary,56,33156,North America
207,Non-Binary,50,43064,North America
208,Male,18,45711,Europe
209,Male,74,50106,North America
210,Female,44,85458,Africa
211,Non-Binary,74,36589,South America
212,Female,69,109272,Europe
213,Male,30,106511,South America
214,Female,58,121754,South America
215,Male,20,27214,Asia
216,Non-Binary,56,116117,Asia
217,Female,23,105731,Europe
218,Female,25,130118,Australia
219,Female,44,146479,Asia
220,Non-Binary,26,47127,Asia
221,Male,54,25141,Asia
222,Non-Binary,50,48884,South America
223,Female,68,110421,Europe
224,Female,59,22708,South America
225,Non-Binary,61,38375,Africa
226,Non-Binary,41,35088,South America
227,Female,32,77615,Africa
228,Non-Binary,71,130138,North America
229,Female,49,65046,North America
230,Male,49,30014,Africa
231,Non-Binary,41,84425,Africa
232,Female,58,23273,South America
233,Non-Binary,69,67135,Africa
234,Male,66,122842,Europe
235,Non-Binary,66,50881,North America
236,Non-Binary,69,117022,North America
237,Non-Binary,29,98077,Australia
238,Male,56,28712,Africa
