SupplierID,SupplierName,Certification
1,GreenTech Solutions,Non-Certified
2,BlueSky Enterprises,Certified
3,Summit Traders,Certified
4,Omega Distributors,Certified
5,Everest Supplies,Non-Certified
6,Fusion Logistics,Certified
7,Apex Merchants,Certified
8,Global Imports,Certified
9,Vista Trading,Certified
10,PrimeSource Goods,Non-Certified
11,Vertex Supplies,Certified
12,Titan Industries,Certified
13,Pioneer Traders,Certified
14,Sunrise Logistics,Certified
15,Crystal Ventures,Non-Certified
16,Synergy Imports,Non-Certified
17,OmniTrade Solutions,Certified
18,Horizon Enterprises,Non-Certified
19,Infinity Resources,Non-Certified
20,Brilliant Distributors,Non-Certified
21,Quantum Goods,Non-Certified
22,Nova Logistics,Certified
23,Excel Trading,Non-Certified
24,Nexus Imports,Non-Certified
25,Velocity Enterprises,Certified
26,TrueNorth Traders,Certified
27,Endeavour Supplies,Certified
28,Steadfast Distributors,Certified
29,Hyperion Goods,Non-Certified
30,Lighthouse Trading,Certified
31,Odyssey Enterprises,Non-Certified
32,Reliant Imports,Non-Certified
33,Equinox Solutions,Certified
34,Trailblazer Goods,Certified
35,TerraNova Trading,Non-Certified
36,EverBright Merchants,Non-Certified
37,Celestial Logistics,Certified
38,Stratosphere Ventures,Certified
39,Vanguard Distributors,Certified
40,Astro Supplies,Non-Certified
41,OmniLink Traders,Non-Certified
42,Phoenix Enterprises,Certified
43,Legacy Imports,Non-Certified
44,Crestwave Solutions,Certified
45,Solstice Goods,Non-Certified
46,Cypress Logistics,Non-Certified
47,Frontier Distributors,Certified
48,Ascend Trading,Certified
49,Elevate Enterprises,Certified
50,Beacon Supplies,Non-Certified
51,Brilliant Ventures,Non-Certified
52,Urban Imports,Certified
53,Noble Merchants,Non-Certified
54,Evolve Logistics,Certified
55,BlueOcean Trading,Non-Certified
56,PrimeVista Enterprises,Certified
57,SummitPeak Distributors,Non-Certified
58,EverGlow Traders,Non-Certified
59,Zeta Resources,Non-Certified
60,NextGen Logistics,Non-Certified
61,Peak Performance Imports,Certified
62,Radiant Enterprises,Non-Certified
63,Sunbeam Goods,Certified
64,InfinityLink Trading,Certified
65,Starlight Distributors,Certified
66,Nebula Solutions,Certified
67,Skyline Ventures,Non-Certified
68,TerraSphere Merchants,Certified
69,OmniX Logistics,Non-Certified
70,Solara Trading,Non-Certified
71,Lunar Imports,Non-Certified
72,Aether Enterprises,Non-Certified
73,VertexLink Goods,Certified
74,BeaconWave Distributors,Non-Certified
75,Crestline Traders,Certified
76,Zenith Imports,Non-Certified
77,Galaxy Supplies,Non-Certified
78,Pinnacle Enterprises,Certified
79,Optima Goods,Non-Certified
80,HorizonPeak Trading,Non-Certified
81,Visionary Logistics,Non-Certified
82,TurboLink Merchants,Non-Certified
83,Aspen Distributors,Non-Certified
84,Cascade Enterprises,Certified
85,NovaStar Traders,Non-Certified
86,Storm Logistics,Non-Certified
87,TerraVision Goods,Certified
88,Vortex Supplies,Non-Certified
89,Ascendia Imports,Certified
90,SolarFlare Trading,Non-Certified
91,QuantumPeak Enterprises,Non-Certified
92,AstroLink Distributors,Certified
93,ThunderWave Goods,Non-Certified
94,Blaze Logistics,Non-Certified
95,Illuminex Traders,Certified
96,EvolveX Enterprises,Certified
97,ZenithPeak Imports,Non-Certified
98,ClearSky Trading,Certified
99,HyperNova Distributors,Non-Certified
100,Glacial Supplies,Certified
