ReviewID,CustomerID,ProductID,Rating,ReviewText
1,4530,432,3,Excellent
2,2393,213,3,Good
3,2098,427,2,Average
4,3606,33,1,Very Bad
5,2575,444,1,Excellent
6,363,20,4,Excellent
7,4079,464,4,Good
8,3959,198,4,Very Bad
9,1807,236,4,Average
10,3989,472,5,Very Bad
11,2391,490,4,Average
12,2769,120,2,Average
13,4029,124,1,Very Bad
14,3332,406,1,Good
15,3433,192,2,Very Bad
16,181,304,1,Good
17,291,343,1,Good
18,1045,417,5,Very Bad
19,2236,350,5,Excellent
20,3333,103,4,Poor
21,2435,404,4,Good
22,699,447,3,Good
23,4684,417,5,Average
24,4729,488,2,Excellent
25,2570,80,2,Average
26,1582,461,3,Very Bad
27,702,219,5,Excellent
28,1211,42,5,Very Bad
29,3218,334,2,Very Bad
30,3866,448,5,Excellent
31,3325,391,4,Very Bad
32,1564,202,5,Very Bad
33,817,255,5,Poor
34,1056,76,2,Excellent
35,247,360,5,Poor
36,4181,461,1,Very Bad
37,3886,321,5,Excellent
38,492,14,2,Poor
39,58,376,1,Good
40,129,203,4,Excellent
41,686,91,1,Very Bad
42,4000,266,5,Very Bad
43,2702,193,5,Excellent
44,3155,251,3,Excellent
45,3353,79,4,Good
46,1578,106,2,Poor
47,4977,73,2,Very Bad
48,237,109,2,Poor
49,1037,279,3,Good
50,4036,269,2,Very Bad
51,3260,200,1,Excellent
52,1604,138,4,Very Bad
53,4649,398,5,Very Bad
54,1798,421,2,Average
55,3562,70,4,Average
56,2267,388,5,Good
57,3606,140,5,Average
58,669,137,1,Excellent
59,4209,269,1,Good
60,4327,427,5,Poor
61,4904,63,2,Poor
62,834,120,3,Very Bad
63,2835,290,3,Very Bad
64,400,471,2,Poor
65,3672,155,5,Excellent
66,1727,23,2,Average
67,3865,269,3,Very Bad
68,203,407,5,Good
69,142,352,1,Poor
70,3093,323,1,Average
71,4908,114,3,Very Bad
72,4276,161,1,Excellent
73,102,40,2,Average
74,3535,129,4,Excellent
75,2538,290,4,Good
76,2005,463,1,Excellent
77,1744,358,2,Poor
78,1661,428,1,Poor
79,2891,494,1,Very Bad
80,1072,119,5,Average
81,3326,151,2,Very Bad
82,4942,362,3,Good
83,2005,98,2,Very Bad
84,3774,45,2,Excellent
85,2128,408,1,Average
86,898,227,5,Poor
87,4906,130,5,Poor
88,3778,334,1,Very Bad
89,1692,354,5,Average
90,2693,385,2,Poor
91,392,11,3,Poor
92,2633,289,3,Good
93,1233,108,3,Poor
94,4208,439,5,Excellent
95,2015,361,4,Very Bad
96,3682,270,1,Average
97,4061,118,4,Excellent
98,3402,303,1,Good
99,1128,264,4,Good
100,4666,380,1,Good
101,1675,142,3,Excellent
102,1019,140,3,Average
103,97,211,2,Average
104,1686,492,4,Excellent
105,725,418,1,Good
106,2700,114,3,Average
107,4880,353,1,Excellent
108,2603,103,3,Poor
109,2074,249,1,Average
110,3447,3,4,Very Bad
111,2526,116,1,Good
112,983,18,3,Poor
113,97,280,1,Good
114,3078,137,3,Poor
115,4974,277,2,Average
116,1762,174,5,Poor
117,531,35,5,Very Bad
118,2430,156,4,Average
119,1049,315,3,Good
120,1373,224,4,Average
121,4112,367,4,Good
122,1117,60,1,Poor
123,3642,444,5,Very Bad
124,3297,235,4,Excellent
125,1206,241,3,Poor
126,2057,191,3,Average
127,2050,353,2,Poor
128,4919,468,5,Average
129,133,351,4,Poor
130,3837,64,2,Poor
131,4372,370,3,Very Bad
132,1668,372,5,Average
133,1157,45,3,Very Bad
134,4113,297,4,Poor
135,537,211,1,Poor
136,4602,76,5,Average
137,3062,209,2,Very Bad
138,4057,273,2,Excellent
139,2463,260,1,Very Bad
140,1628,473,2,Poor
141,2551,477,1,Good
142,4864,275,5,Very Bad
143,975,500,4,Excellent
144,2027,196,4,Good
145,3891,286,5,Very Bad
146,1575,404,2,Good
147,1614,47,1,Poor
148,397,477,5,Poor
149,992,45,5,Excellent
150,398,276,4,Average
151,4388,139,5,Good
152,2471,192,3,Excellent
153,645,491,5,Very Bad
154,3167,244,1,Poor
155,2201,20,5,Very Bad
156,1208,31,1,Average
