SaleID,CustomerID,ProductID,SupplierID,Revenue,Profit,CO2Emissions,Date
1,1892,327,35,192.22,131.43,27.78,2023-01-01 00:00:00
2,831,324,71,688.34,144.2,5.48,2023-01-01 01:00:00
3,49,476,94,351.05,197.2,29.28,2023-01-01 02:00:00
4,4211,311,4,750.81,117.77,41.73,2023-01-01 03:00:00
5,1179,99,51,221.03,137.2,28.08,2023-01-01 04:00:00
6,3034,97,94,409.47,157.96,44.16,2023-01-01 05:00:00
7,71,327,30,476.47,20.1,7.0,2023-01-01 06:00:00
8,67,73,94,174.86,147.2,41.31,2023-01-01 07:00:00
9,1778,482,53,78.9,109.83,33.16,2023-01-01 08:00:00
10,2229,256,82,323.9,20.92,30.22,2023-01-01 09:00:00
11,1790,231,74,549.44,134.31,29.48,2023-01-01 10:00:00
12,613,170,14,656.15,47.67,6.04,2023-01-01 11:00:00
13,1887,482,36,431.02,108.04,32.13,2023-01-01 12:00:00
14,1623,333,87,505.27,56.91,20.0,2023-01-01 13:00:00
15,697,157,12,547.76,21.8,3.26,2023-01-01 14:00:00
16,1238,419,76,516.79,50.92,10.34,2023-01-01 15:00:00
17,2407,429,34,99.43,88.32,22.18,2023-01-01 16:00:00
18,249,458,26,410.95,99.33,49.65,2023-01-01 17:00:00
19,638,222,6,212.29,30.55,21.59,2023-01-01 18:00:00
20,950,364,53,538.4,64.87,7.57,2023-01-01 19:00:00
21,1905,346,15,760.5,172.02,45.1,2023-01-01 20:00:00
22,3588,99,19,583.69,182.17,1.86,2023-01-01 21:00:00
23,1112,220,47,229.6,107.5,6.42,2023-01-01 22:00:00
24,176,413,87,215.68,98.58,23.74,2023-01-01 23:00:00
25,723,244,100,46.63,116.7,4.73,2023-01-02 00:00:00
26,3843,454,77,432.12,43.7,28.62,2023-01-02 01:00:00
27,3675,259,95,438.53,198.72,7.97,2023-01-02 02:00:00
28,4867,477,61,244.07,149.31,32.58,2023-01-02 03:00:00
29,1948,441,90,766.62,48.51,5.97,2023-01-02 04:00:00
30,703,194,52,392.62,55.16,40.52,2023-01-02 05:00:00
31,2129,375,18,672.71,130.03,36.72,2023-01-02 06:00:00
32,927,150,60,643.67,65.25,46.28,2023-01-02 07:00:00
33,4234,494,47,608.69,71.71,3.51,2023-01-02 08:00:00
